url,label
upi://pay?pa=scammer@phonepe&pn=Scammer&am=5000&cu=INR,malicious
upi://pay?pa=fraudster@paytm&pn=Fraudster&am=500&cu=INR&mode=02,malicious
upi://pay?pa=scam@phonepe&pn=ScamArtist&cu=INR&mode=02&purpose=00,malicious
upi://pay?pa=bigscam@phonepe&pn=BigScammer&am=10000&cu=INR&orgid=123456,malicious
upi://pay?pa=fakeperson@paytm&pn=FakePerson&am=2000&cu=INR,malicious
upi://pay?pa=scammer123@phonepe&pn=Scammer123&am=1500&cu=INR&mode=02,malicious
upi://pay?pa=fraud@paytm&pn=FraudAccount&am=3000&cu=INR&purpose=01,malicious
upi://pay?pa=scamartist@phonepe&pn=ScamArtist&am=7500&cu=INR,malicious
upi://pay?pa=fakeshop@paytm&pn=FakeShop&am=4000&cu=INR&mode=02,malicious
upi://pay?pa=scammer456@phonepe&pn=Scammer456&am=6000&cu=INR&orgid=999,malicious
upi://pay?pa=fraud999@paytm&am=8000&cu=INR,malicious
upi://pay?pa=scam123@phonepe&am=1200&cu=INR&mode=02,malicious
upi://pay?pa=faker@paytm&am=900&cu=INR,malicious
upi://pay?pa=badactor@phonepe&am=15000&cu=INR&orgid=888,malicious
upi://pay?pa=scammer789@paytm&am=3500&cu=INR&mode=02,malicious
upi://pay?pa=frauder@phonepe&am=2500&cu=INR,malicious
upi://pay?pa=scamguy@paytm&am=5500&cu=INR&purpose=02,malicious
upi://pay?pa=fakeguy@phonepe&am=4500&cu=INR&mode=02,malicious
upi://pay?pa=badguy@paytm&am=6500&cu=INR,malicious
upi://pay?pa=scammer999@phonepe&am=7000&cu=INR&orgid=777,malicious
upi://pay?pa=myshop@paytm&pn=MyShop,benign
upi://pay?pa=merchant123@paytm&pn=LegitimateShop&cu=INR,benign
upi://pay?pa=store@phonepe&pn=MyStore,benign
upi://pay?pa=shop123@paytm&pn=ShopName,benign
upi://pay?pa=business@phonepe&pn=BusinessName&cu=INR,benign
upi://pay?pa=retailer@paytm&pn=RetailerName,benign
upi://pay?pa=vendor@phonepe&pn=VendorName,benign
upi://pay?pa=seller@paytm&pn=SellerName&cu=INR,benign
upi://pay?pa=merchant@phonepe&pn=MerchantName,benign
upi://pay?pa=shopkeeper@paytm&pn=ShopkeeperName,benign
upi://pay?pa=grocerystore@paytm&pn=GroceryStore,benign
upi://pay?pa=restaurant@phonepe&pn=Restaurant,benign
upi://pay?pa=cafe@paytm&pn=CafeName,benign
upi://pay?pa=bookstore@phonepe&pn=BookStore,benign
upi://pay?pa=pharmacy@paytm&pn=PharmacyName,benign
upi://pay?pa=electronics@phonepe&pn=ElectronicsShop,benign
upi://pay?pa=clothing@paytm&pn=ClothingStore,benign
upi://pay?pa=bakery@phonepe&pn=BakeryName,benign
upi://pay?pa=salon@paytm&pn=SalonName,benign
upi://pay?pa=gym@phonepe&pn=GymName,benign
